Desc Bibliothèque;Desc Statut Exemplaire;ID Statut Exemplaire;Titre;No de Notice BIB;Desc4;Desc5;Auteur;Date Publication;Desc Format
BU St-Jean;En rayon;18;Annales Maloine internat-ECN 2002-2008;125357;PPN137466447;;Hoertel, Nicolas;2009;Books
BU St-Jean;En rayon;18;Annales Maloine, internat-ECN 1998-2001;333882;PPN16863547X;;Hoertel, Nicolas (1983);2013;Books
BU St-Jean;En rayon;18;Annales Maloine, internat-ECN 2002-2009;333881;PPN148196861;;Hoertel, Nicolas;2010;Books
BU St-Jean;En rayon;18;Annales Maloine, internat-ECN 2010-2012;331687;PPN168635577;;Hoertel, Nicolas (1983);2013;Books
BU St-Jean;En rayon;18;Annales corrigées 2016;409300;PPN20054621X;;Deroux, Alban (1985-....);2017;Books
BU St-Jean;En rayon;18;Annales corrigées 2017;422205;PPN229802990;;Deroux, Alban (1985-....);2018;Books
BU St-Jean;En rayon;18;Annales corrigées 2018;426705;PPN235227382;;Deroux, Alban (1985-....);2019;Books
BU St-Jean;En rayon;18;Annales de LCA;412373;PPN203608453;;Vallée, Alexandre;2017;Books
BU St-Jean;En rayon;18;Annales de LCA 2009-2016;407763;PPN199394709;;Pezel, Théo;2017;Books
BU St-Jean;En rayon;18;Annales de LCA 2009-2017;415688;PPN223507423;;Pezel, Théo;2018;Books
BU St-Jean;En rayon;18;Annales de LCA 2009-2018;424958;PPN233086056;;Pezel, Théo;2019;Books
BU St-Jean;En rayon;18;Annales officielles QCM;399114;PPN192184474;;;2016;Books
BU St-Jean;En rayon;18;Annales officielles QCM;399691;PPN192960962;;;2016;Books
BU St-Jean;En rayon;18;Annales officielles QCM;399692;PPN192962264;;;2016;Books
BU St-Jean;En rayon;18;Annales officielles QCM;399694;PPN192350994;;;2016;Books
BU St-Jean;En rayon;18;Annales officielles QCM;405926;PPN195259688;;;2016;Books
BU St-Jean;En rayon;18;Antisèches;277704;PPN149352360;;Benmoussa, N.;2010;Books
BU St-Jean;En rayon;18;Appareil digestif;268880;PPN145463869;;;2010;Books
BU St-Jean;En rayon;18;Appareil locomoteur;125055;PPN135454980;;Rousseau, Marc-Antoine (1976-....);2009;Books
BU St-Jean;En rayon;18;Appareil locomoteur;150209;PPN143455818;;Lavie, Frédéric;2010;Books
BU St-Jean;En rayon;18;Appareil locomoteur;360430;PPN188312609;;Coury-Lucas, Fabienne (1974-....);2015;Books
BU St-Jean;En rayon;18;Appareil locomoteur;425341;PPN233511245;;Barbier, Olivier (1981-....);2018;Books
BU St-Jean;En rayon;18;Apprentissage de l'exercice médical;351967;PPN177270373;;Fougerouse, Aurore;2014;Books
BU St-Jean;En rayon;18;Arbres diagnostics à l'ECN;336500;PPN172330211;;Khalifé, Marc;2013;Books
BU St-Jean;En rayon;18;Biochimie;272916;PPN148015255;;Vo Kim, Sétha;2010;Books
BU St-Jean;En rayon;18;Biologie aux ECN;312631;PPN15744046X;;Poilane, Maxime (1986-....);2011;Books
BU St-Jean;En rayon;18;Cadre de vie et cohabitation interethnique;80405;PPN109289250;;Borgogno, Victor;1982;Books
BU St-Jean;En rayon;18;Cancérologie;100579;PPN121344266;;Malak, Sandra (1979-....);2008;Books
BU St-Jean;En rayon;18;Cancérologie;101139;PPN121332632;;Scotté, Florian;2008;Books
BU St-Jean;En rayon;18;Cancérologie;124398;PPN13402267X;;;2009;Books
BU St-Jean;En rayon;18;Cancérologie;277633;PPN14964308X;;Beele, A.;2010;Books
BU St-Jean;En rayon;18;Cancérologie;331655;PPN168931877;;Turpin, Anthony (1987-....);2013;Books
BU St-Jean;En rayon;18;Cancérologie;335033;PPN171358503;;Bellesoeur, Audrey;2013;Books
BU St-Jean;En rayon;18;Cancérologie;351928;PPN180573381;;Méry, Benoîte;2014;Books
BU St-Jean;En rayon;18;Cancérologie;352996;PPN181816881;;Sokoloff, Anastasia;2014;Books
BU St-Jean;En rayon;18;Cancérologie;357589;PPN183610695;;Eymard, Pauline;2014;Books
BU St-Jean;En rayon;18;Cancérologie;361035;PPN188096930;;Eymard, Pauline;2015;Books
BU St-Jean;En rayon;18;Cancérologie;397918;PPN191611476;;Bellesoeur, Audrey;2016;Books
BU St-Jean;En rayon;18;Cancérologie;397982;PPN190672137;;Turpin, Anthony;2015;Books
BU St-Jean;En rayon;18;Cancérologie;414479;PPN221385932;;Collège national des enseignants en cancérologie (France);2017;Books
BU St-Jean;En rayon;18;Cancérologie et radiothérapie;306207;PPN154189316;;Boyle, Helen (1980-....);2011;Books
