nb_pret;jour_pret;annee_pret;type_lecteur;date_pub;indice;titre;ppn;num;mois_pret;id_lecteur
1;Jeudi;2016;M2;2012;616;Réanimation et urgences;PPN163666725;324914;9;person_147
1;Lundi;2018;LE;2013;420;Le^guide officiel du test TOEFL®;PPN167933086;330402;7;person_148
1;Mercredi;2016;M1;2009;39;Dictionnaire de poche;PPN136719902;333809;11;person_149
1;Vendredi;2015;M2;2014;616;ORL - Ophtalmologie Stomatologie;PPN177203315;340778;1;person_150
1;Mardi;2017;LC;2012;420;Le^nouveau TOEFL iBT®;PPN164386882;332946;10;person_151
1;Samedi;2018;L2;2017;657;Plan comptable général 2017-2018;PPN199735247;411792;3;person_152
1;Jeudi;2019;L1;2007;658;Gestion & management;PPN117759333;97124;7;person_153
1;Mardi;2017;L2;2009;420;Boostez votre score au TOEIC;PPN13370212X;119055;3;person_154
1;Mercredi;2016;M1;2009;374;Comment réussir un mémoire;PPN136658555;122741;1;person_125
1;Lundi;2016;L3;2009;420;Succeed on the TOEIC ®;PPN139570543;141394;1;person_155
1;Vendredi;2016;EC;2007;658;Éthique professionnelle;PPN119077647;98933;6;person_53
1;Mardi;2016;L3;2004;362;Santé mentale et société;PPN07881040X;122141;11;person_156
1;Mercredi;2019;M2;2018;616;Pneumologie;PPN233423206;424868;5;person_157
1;Jeudi;2018;M2;2017;616;Dermatologie;PPN22105474X;412603;1;person_25
1;Lundi;2019;L2;2014;374;Partir étudier à l'étranger;PPN182815234;356555;5;person_158
1;Lundi;2018;LE;2016;421;DCG épreuve 12;PPN193369257;403208;7;person_148
1;Dimanche;2017;M1;1973;363;Le^Logement des Migrants;PPN054030560;77450;4;person_159
1;Mardi;2017;M1;2012;658;Facebook, Twitter et les autres...;PPN163898480;327693;3;person_160
1;Vendredi;2018;DO;2015;658;Manuel d'intelligence économique;PPN188229663;360466;4;person_161
1;Mardi;2018;L1;2007;618;Manuel de sexologie;PPN118042769;308403;9;person_162
1;Samedi;2018;DO;2014;658;Management et leadership;PPN180762842;358163;11;person_163
1;Mardi;2018;M1;2006;658;Éloge du changement;PPN112590470;89259;10;person_164
1;Vendredi;2017;L3;2009;658;Contrôle de gestion et gestion budgétaire;PPN138874212;130288;1;person_165
1;Lundi;2016;L2;2014;658;Relations professionnelles;PPN180574361;352172;1;person_166
1;Mardi;2015;M2;2008;658;Le^management public en mutation;PPN123280451;103510;3;person_167
1;Vendredi;2015;L1;2012;420;Tests complets pour le TOEIC®;PPN163778337;324908;1;person_168
1;Vendredi;2016;L3;2011;616;Néphrologie;PPN155729179;308330;7;person_169
1;Samedi;2015;M2;2013;658;Recherches et innovations en sciences de gestion;PPN16794374X;337139;2;person_80
1;Samedi;2016;M2;2014;616;Neurologie;PPN182023826;352993;10;person_170
1;Samedi;2015;M1;2008;658;DSCG 2;PPN121127362;101915;1;person_171
1;Jeudi;2017;M2;2017;616;Réussite à la LCA en français-anglais;PPN198494041;406933;11;person_136
1;Lundi;2018;M2;2017;616;Ophtalmologie;PPN204333822;411137;7;person_172
1;Dimanche;2015;M2;2012;39;Anglais;PPN16454917X;333804;11;person_173
1;Samedi;2015;M2;2003;658;Le^pouvoir dans les organisations;PPN074571680;44016;10;person_174
1;Mercredi;2015;M1;2011;376;La^lettre de motivation en anglais;PPN150702604;281453;1;person_175
1;Vendredi;2016;M1;2011;658;Psychologie et recrutement;PPN151281327;324139;10;person_176
1;Jeudi;2016;L2;1993;910;L'idiot du voyage;PPN003007022;129245;3;person_177
1;Samedi;2018;M2;2017;616;ORL, chirurgie maxillo-faciale;PPN197923348;406938;5;person_178
1;Vendredi;2016;M2;2006;658;L'analyse des besoins;PPN101390785;81227;5;person_179
1;Vendredi;2015;LE;2013;657;DCG épreuve 9;PPN171238672;339237;1;person_180
1;Lundi;2017;LC;2001;370;L'école de la périphérie;PPN058597069;25189;4;person_181
1;Mercredi;2016;DO;2014;658;Méthodes de recherche en management;PPN179373145;350916;7;person_182
1;Lundi;2018;LC;2008;370;Actualité de Basil Bernstein;PPN131408410;116651;3;person_183
1;Mercredi;2017;LE;2013;379;Du changement dans l'école;PPN172245885;357373;3;person_184
1;Lundi;2015;M2;2012;616;Neurologie;PPN164628312;325634;10;person_185
1;Mercredi;2015;PE;1950;965;Les^juifs d'Algérie;PPN016092074;77051;4;person_78
1;Jeudi;2017;M2;2012;658;Management du changement;PPN16124369X;316396;7;person_186
1;Jeudi;2017;M1;2014;616;Médecine interne;PPN183551044;357664;8;person_187
1;Lundi;2016;L1;2015;616;Pneumologie;PPN187907579;360458;6;person_188
1;Lundi;2016;M2;2008;658;Restructurations d'entreprises;PPN123689031;106502;1;person_189
1;Mardi;2015;L1;2010;616;Médecine interne;PPN148332498;272331;4;person_190
1;Jeudi;2016;LE;2008;658;La^semaine de 4 heures;PPN122645162;103241;11;person_191
1;Jeudi;2017;EC;2007;658;Stratégie financière;PPN115113371;283150;10;person_192
1;Samedi;2017;PU;2015;500;Formulaire MPSI-MP mathématiques, physique-chimie, SII;PPN188068058;394865;2;person_193
1;Jeudi;2018;M1;2012;658;Comportements du consommateur;PPN160757592;316373;5;person_194
